Longitude,Latitude,YEAR,PRECTOTCORR
6.2338340238658825,9.898270161085012,1981,2916.19
6.2338340238658825,9.898270161085012,1982,4127.24
6.2338340238658825,9.898270161085012,1983,3162.09
6.2338340238658825,9.898270161085012,1984,2695.57
6.2338340238658825,9.898270161085012,1985,2504.75
6.2338340238658825,9.898270161085012,1986,2410.12
6.2338340238658825,9.898270161085012,1987,2467.19
6.2338340238658825,9.898270161085012,1988,2605.7
6.2338340238658825,9.898270161085012,1989,2688.02
6.2338340238658825,9.898270161085012,1990,2015.44
6.2338340238658825,9.898270161085012,1991,1756.08
6.2338340238658825,9.898270161085012,1992,2467.4
6.2338340238658825,9.898270161085012,1993,2366.67
6.2338340238658825,9.898270161085012,1994,2577.82
6.2338340238658825,9.898270161085012,1995,2867.57
6.2338340238658825,9.898270161085012,1996,2603.91
6.2338340238658825,9.898270161085012,1997,2272.28
6.2338340238658825,9.898270161085012,1998,1971.36
6.2338340238658825,9.898270161085012,1999,1504.91
6.2338340238658825,9.898270161085012,2000,3607.51
6.2338340238658825,9.898270161085012,2001,2416.6
6.2338340238658825,9.898270161085012,2002,1752.18
6.2338340238658825,9.898270161085012,2003,1741.06
6.2338340238658825,9.898270161085012,2004,1645.87
6.2338340238658825,9.898270161085012,2005,1656.39
6.2338340238658825,9.898270161085012,2006,1867.85
6.2338340238658825,9.898270161085012,2007,2455.04
6.2338340238658825,9.898270161085012,2008,1771.95
6.2338340238658825,9.898270161085012,2009,1530.37
6.2338340238658825,9.898270161085012,2010,1903.28
6.2338340238658825,9.898270161085012,2011,2168.54
6.2338340238658825,9.898270161085012,2012,2277.84
6.2338340238658825,9.898270161085012,2013,1738.72
6.2338340238658825,9.898270161085012,2014,1519.58
6.2338340238658825,9.898270161085012,2015,3277.18
6.2338340238658825,9.898270161085012,2016,4076.74
6.2338340238658825,9.898270161085012,2017,3855.97
6.2338340238658825,9.898270161085012,2018,3085.17
6.2338340238658825,9.898270161085012,2019,2473.35
6.2338340238658825,9.898270161085012,2020,3285.4
6.2338340238658825,9.898270161085012,2021,1909.26
6.2338340238658825,9.898270161085012,2022,3461.79
6.2338340238658825,9.898270161085012,2023,1865.8
6.2338340238658825,9.898270161085012,2024,0.0
6.2338340238658825,10.347427803144774,1981,2201.59
6.2338340238658825,10.347427803144774,1982,3385.73
6.2338340238658825,10.347427803144774,1983,2334.79
6.2338340238658825,10.347427803144774,1984,1860.14
6.2338340238658825,10.347427803144774,1985,2047.97
6.2338340238658825,10.347427803144774,1986,2042.41
6.2338340238658825,10.347427803144774,1987,1939.23
6.2338340238658825,10.347427803144774,1988,1954.01
6.2338340238658825,10.347427803144774,1989,2014.37
6.2338340238658825,10.347427803144774,1990,1672.93
6.2338340238658825,10.347427803144774,1991,1479.71
6.2338340238658825,10.347427803144774,1992,1883.3
6.2338340238658825,10.347427803144774,1993,1929.47
6.2338340238658825,10.347427803144774,1994,1881.5
6.2338340238658825,10.347427803144774,1995,2242.07
6.2338340238658825,10.347427803144774,1996,2054.4
6.2338340238658825,10.347427803144774,1997,1931.35
6.2338340238658825,10.347427803144774,1998,1700.49
6.2338340238658825,10.347427803144774,1999,1258.44
6.2338340238658825,10.347427803144774,2000,2552.79
6.2338340238658825,10.347427803144774,2001,1822.97
6.2338340238658825,10.347427803144774,2002,1499.66
6.2338340238658825,10.347427803144774,2003,1362.5
6.2338340238658825,10.347427803144774,2004,1454.25
6.2338340238658825,10.347427803144774,2005,1376.43
6.2338340238658825,10.347427803144774,2006,1517.95
6.2338340238658825,10.347427803144774,2007,2048.2
6.2338340238658825,10.347427803144774,2008,1466.1
6.2338340238658825,10.347427803144774,2009,1492.36
6.2338340238658825,10.347427803144774,2010,1710.23
6.2338340238658825,10.347427803144774,2011,1759.71
6.2338340238658825,10.347427803144774,2012,1932.31
6.2338340238658825,10.347427803144774,2013,1643.93
6.2338340238658825,10.347427803144774,2014,1503.65
6.2338340238658825,10.347427803144774,2015,2685.12
6.2338340238658825,10.347427803144774,2016,3190.9700000000003
6.2338340238658825,10.347427803144774,2017,3071.04
6.2338340238658825,10.347427803144774,2018,2497.44
6.2338340238658825,10.347427803144774,2019,2423.52
6.2338340238658825,10.347427803144774,2020,2875.16
6.2338340238658825,10.347427803144774,2021,1232.13
6.2338340238658825,10.347427803144774,2022,3053.76
6.2338340238658825,10.347427803144774,2023,1443.02
6.2338340238658825,10.347427803144774,2024,0.0
6.680141303269673,9.449112519025253,1981,2908.99
6.680141303269673,9.449112519025253,1982,3488.71
6.680141303269673,9.449112519025253,1983,3474.98
6.680141303269673,9.449112519025253,1984,3019.45
6.680141303269673,9.449112519025253,1985,2260.53
6.680141303269673,9.449112519025253,1986,2325.46
6.680141303269673,9.449112519025253,1987,2276.26
6.680141303269673,9.449112519025253,1988,2476.6
6.680141303269673,9.449112519025253,1989,2687.29
6.680141303269673,9.449112519025253,1990,2106.56
6.680141303269673,9.449112519025253,1991,1819.07
6.680141303269673,9.449112519025253,1992,2306.9
6.680141303269673,9.449112519025253,1993,2465.3
6.680141303269673,9.449112519025253,1994,2515.02
6.680141303269673,9.449112519025253,1995,2889.89
6.680141303269673,9.449112519025253,1996,2570.57
6.680141303269673,9.449112519025253,1997,2533.49
6.680141303269673,9.449112519025253,1998,2068.25
6.680141303269673,9.449112519025253,1999,1661.69
6.680141303269673,9.449112519025253,2000,4262.03
6.680141303269673,9.449112519025253,2001,2949.11
6.680141303269673,9.449112519025253,2002,2413.77
6.680141303269673,9.449112519025253,2003,2229.05
