Longitude,Latitude,MO,YEAR,PRECTOTCORR
6.2338340238658825,9.898270161085012,1,1981,8.56
6.2338340238658825,9.898270161085012,1,1982,39.519999999999996
6.2338340238658825,9.898270161085012,1,1983,0.0
6.2338340238658825,9.898270161085012,1,1984,14.18
6.2338340238658825,9.898270161085012,1,1985,12.959999999999999
6.2338340238658825,9.898270161085012,1,1986,3.6300000000000003
6.2338340238658825,9.898270161085012,1,1987,25.05
6.2338340238658825,9.898270161085012,1,1988,11.51
6.2338340238658825,9.898270161085012,1,1989,0.39
6.2338340238658825,9.898270161085012,1,1990,5.84
6.2338340238658825,9.898270161085012,1,1991,1.3
6.2338340238658825,9.898270161085012,1,1992,1.85
6.2338340238658825,9.898270161085012,1,1993,0.56
6.2338340238658825,9.898270161085012,1,1994,29.52
6.2338340238658825,9.898270161085012,1,1995,2.73
6.2338340238658825,9.898270161085012,1,1996,2.68
6.2338340238658825,9.898270161085012,1,1997,0.39
6.2338340238658825,9.898270161085012,1,1998,0.9299999999999999
6.2338340238658825,9.898270161085012,1,1999,1.96
6.2338340238658825,9.898270161085012,1,2000,0.63
6.2338340238658825,9.898270161085012,1,2001,1.99
6.2338340238658825,9.898270161085012,1,2002,0.08
6.2338340238658825,9.898270161085012,1,2003,60.06
6.2338340238658825,9.898270161085012,1,2004,14.69
6.2338340238658825,9.898270161085012,1,2005,7.65
6.2338340238658825,9.898270161085012,1,2006,15.31
6.2338340238658825,9.898270161085012,1,2007,0.0
6.2338340238658825,9.898270161085012,1,2008,7.91
6.2338340238658825,9.898270161085012,1,2009,22.04
6.2338340238658825,9.898270161085012,1,2010,24.62
6.2338340238658825,9.898270161085012,1,2011,1.02
6.2338340238658825,9.898270161085012,1,2012,1.29
6.2338340238658825,9.898270161085012,1,2013,8.48
6.2338340238658825,9.898270161085012,1,2014,3.38
6.2338340238658825,9.898270161085012,1,2015,2.5700000000000003
6.2338340238658825,9.898270161085012,1,2016,2.6199999999999997
6.2338340238658825,9.898270161085012,1,2017,4.99
6.2338340238658825,9.898270161085012,1,2018,3.71
6.2338340238658825,9.898270161085012,1,2019,11.18
6.2338340238658825,9.898270161085012,1,2020,0.0
6.2338340238658825,9.898270161085012,1,2021,0.8300000000000001
6.2338340238658825,9.898270161085012,1,2022,11.91
6.2338340238658825,9.898270161085012,1,2023,1.36
6.2338340238658825,9.898270161085012,1,2024,0.0
6.2338340238658825,9.898270161085012,2,1981,19.23
6.2338340238658825,9.898270161085012,2,1982,88.42
6.2338340238658825,9.898270161085012,2,1983,9.84
6.2338340238658825,9.898270161085012,2,1984,13.48
6.2338340238658825,9.898270161085012,2,1985,0.43000000000000005
6.2338340238658825,9.898270161085012,2,1986,9.469999999999999
6.2338340238658825,9.898270161085012,2,1987,61.77
6.2338340238658825,9.898270161085012,2,1988,21.44
6.2338340238658825,9.898270161085012,2,1989,0.81
6.2338340238658825,9.898270161085012,2,1990,13.23
6.2338340238658825,9.898270161085012,2,1991,19.88
6.2338340238658825,9.898270161085012,2,1992,1.31
6.2338340238658825,9.898270161085012,2,1993,7.89
6.2338340238658825,9.898270161085012,2,1994,4.05
6.2338340238658825,9.898270161085012,2,1995,36.2
6.2338340238658825,9.898270161085012,2,1996,25.08
6.2338340238658825,9.898270161085012,2,1997,2.69
6.2338340238658825,9.898270161085012,2,1998,1.45
6.2338340238658825,9.898270161085012,2,1999,67.62
6.2338340238658825,9.898270161085012,2,2000,0.13
6.2338340238658825,9.898270161085012,2,2001,6.92
6.2338340238658825,9.898270161085012,2,2002,3.43
6.2338340238658825,9.898270161085012,2,2003,112.67
6.2338340238658825,9.898270161085012,2,2004,0.98
6.2338340238658825,9.898270161085012,2,2005,16.39
6.2338340238658825,9.898270161085012,2,2006,49.96
6.2338340238658825,9.898270161085012,2,2007,33.23
6.2338340238658825,9.898270161085012,2,2008,3.5100000000000002
6.2338340238658825,9.898270161085012,2,2009,12.15
6.2338340238658825,9.898270161085012,2,2010,46.65
6.2338340238658825,9.898270161085012,2,2011,48.769999999999996
6.2338340238658825,9.898270161085012,2,2012,42.699999999999996
6.2338340238658825,9.898270161085012,2,2013,16.54
6.2338340238658825,9.898270161085012,2,2014,13.93
6.2338340238658825,9.898270161085012,2,2015,71.79
6.2338340238658825,9.898270161085012,2,2016,8.56
6.2338340238658825,9.898270161085012,2,2017,0.79
6.2338340238658825,9.898270161085012,2,2018,207.74
6.2338340238658825,9.898270161085012,2,2019,22.93
6.2338340238658825,9.898270161085012,2,2020,1.8
6.2338340238658825,9.898270161085012,2,2021,1.81
6.2338340238658825,9.898270161085012,2,2022,0.56
6.2338340238658825,9.898270161085012,2,2023,4.15
6.2338340238658825,9.898270161085012,3,1981,102.5
6.2338340238658825,9.898270161085012,3,1982,288.26
6.2338340238658825,9.898270161085012,3,1983,29.810000000000002
6.2338340238658825,9.898270161085012,3,1984,187.37
6.2338340238658825,9.898270161085012,3,1985,229.93
6.2338340238658825,9.898270161085012,3,1986,166.35
6.2338340238658825,9.898270161085012,3,1987,148.96
6.2338340238658825,9.898270161085012,3,1988,126.11
6.2338340238658825,9.898270161085012,3,1989,51.07
6.2338340238658825,9.898270161085012,3,1990,6.04
6.2338340238658825,9.898270161085012,3,1991,66.11
6.2338340238658825,9.898270161085012,3,1992,183.0
6.2338340238658825,9.898270161085012,3,1993,123.29
6.2338340238658825,9.898270161085012,3,1994,73.41
6.2338340238658825,9.898270161085012,3,1995,149.34
6.2338340238658825,9.898270161085012,3,1996,183.04999999999998
6.2338340238658825,9.898270161085012,3,1997,257.0
